sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
272,1,683,9535,10218,256,1024,50666.7
273,1,679,9580,10259,256,1024,50708.3
274,1,686,9511,10197,256,1024,50750.0
275,0,738,9569,10307,256,1024,50791.7
276,0,738,9569,10307,256,1024,50708.3
277,0,738,9569,10307,256,1024,50750.0
278,1,683,9474,10157,256,1024,50708.3
279,1,690,9609,10299,256,1024,50708.3
280,0,738,9569,10307,256,1024,50750.0
281,0,738,9569,10307,256,1024,50625.0
282,0,738,9569,10307,256,1024,50708.3
283,1,689,9500,10189,256,1024,50791.7
284,0,738,9569,10307,256,1024,56916.7
285,0,738,9569,10307,256,1024,50666.7
286,0,738,9569,10307,256,1024,50625.0
287,0,738,9569,10307,256,1024,50708.3
288,1,665,9481,10146,256,1024,52541.7
289,1,676,9545,10221,256,1024,52541.7
290,0,738,9569,10307,256,1024,52416.7
291,0,738,9569,10307,256,1024,52541.7
292,0,738,9569,10307,256,1024,52416.7
293,1,677,9572,10249,256,1024,52458.3
294,1,679,9559,10238,256,1024,52500.0
295,1,671,9553,10224,256,1024,52500.0
296,0,738,9569,10307,256,1024,52541.7
297,0,738,9569,10307,256,1024,55083.3
298,1,664,9404,10068,256,1024,52458.3
299,0,738,9569,10307,256,1024,52375.0
300,0,738,9569,10307,256,1024,52375.0
301,0,738,9569,10307,256,1024,52458.3
302,1,683,9524,10207,256,1024,52333.3
303,0,738,9569,10307,256,1024,50666.7
304,0,738,9569,10307,256,1024,50666.7
305,1,694,9599,10293,256,1024,50583.3
306,1,678,9568,10246,256,1024,50708.3
307,0,738,9569,10307,256,1024,50750.0
308,0,738,9569,10307,256,1024,50708.3
309,0,738,9569,10307,256,1024,50708.3
310,0,738,9569,10307,256,1024,50750.0
311,0,738,9569,10307,256,1024,50708.3
312,0,738,9569,10307,256,1024,50583.3
313,1,681,9550,10231,256,1024,50625.0
314,0,738,9569,10307,256,1024,50708.3
315,1,649,9548,10197,256,1024,50625.0
316,1,680,9538,10218,256,1024,50625.0
317,0,738,9569,10307,256,1024,50708.3
318,0,738,9569,10307,256,1024,50583.3
319,1,686,9569,10255,256,1024,50666.7
320,0,738,9569,10307,256,1024,50666.7
321,1,678,9565,10243,256,1024,50791.7
322,0,738,9569,10307,256,1024,50666.7
323,0,738,9569,10307,256,1024,50666.7
324,0,738,9569,10307,256,1024,50875.0
325,1,688,9513,10201,256,1024,50875.0
326,0,738,9569,10307,256,1024,50666.7
327,0,738,9569,10307,256,1024,50583.3
328,0,738,9569,10307,256,1024,50791.7
329,0,738,9569,10307,256,1024,50666.7
330,1,687,9554,10241,256,1024,50583.3
331,0,738,9569,10307,256,1024,50625.0
332,1,673,9584,10257,256,1024,50708.3
333,1,697,9489,10186,256,1024,50583.3
334,1,665,9522,10187,256,1024,50625.0
335,1,677,9541,10218,256,1024,50708.3
336,0,738,9569,10307,256,1024,50666.7
337,1,692,9507,10199,256,1024,50625.0
338,0,738,9569,10307,256,1024,50583.3
339,1,671,9544,10215,256,1024,50708.3
340,1,673,9625,10298,256,1024,50666.7
341,1,677,9571,10248,256,1024,50625.0
342,1,670,9539,10209,256,1024,50708.3
343,0,738,9569,10307,256,1024,50708.3
344,1,671,9589,10260,256,1024,50583.3
345,1,688,9547,10235,256,1024,50666.7
346,0,738,9569,10307,256,1024,50666.7
347,0,738,9569,10307,256,1024,50625.0
348,1,679,9580,10259,256,1024,50666.7
349,1,667,9522,10189,256,1024,50625.0
350,1,685,9478,10163,256,1024,50625.0
351,1,675,9444,10119,256,1024,50791.7
352,0,738,9569,10307,256,1024,50625.0
