sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
239,1,0,0,0,0,0,50500.0
240,1,0,0,0,0,0,50625.0
241,1,0,0,0,0,0,50416.7
242,1,0,0,0,0,0,50541.7
243,1,0,0,0,0,0,50333.3
244,0,0,0,0,0,0,50458.3
245,1,0,0,0,0,0,50416.7
246,1,0,0,0,0,0,50375.0
247,1,0,0,0,0,0,50500.0
248,0,0,0,0,0,0,50541.7
249,1,0,0,0,0,0,50416.7
250,0,0,0,0,0,0,50250.0
251,0,0,0,0,0,0,50500.0
252,0,0,0,0,0,0,50583.3
253,1,0,0,0,0,0,50500.0
254,1,0,0,0,0,0,50375.0
255,1,0,0,0,0,0,50500.0
256,1,0,0,0,0,0,50500.0
257,1,0,0,0,0,0,50416.7
258,0,0,0,0,0,0,50416.7
259,0,0,0,0,0,0,50375.0
260,0,0,0,0,0,0,50416.7
261,0,0,0,0,0,0,50291.7
262,1,0,0,0,0,0,50541.7
263,1,0,0,0,0,0,50375.0
264,0,0,0,0,0,0,50333.3
265,0,0,0,0,0,0,50375.0
266,1,0,0,0,0,0,51750.0
267,0,0,0,0,0,0,52583.3
268,1,0,0,0,0,0,50541.7
269,0,0,0,0,0,0,50583.3
270,0,0,0,0,0,0,50458.3
271,0,0,0,0,0,0,50333.3
272,1,0,0,0,0,0,50458.3
273,1,0,0,0,0,0,50458.3
274,1,0,0,0,0,0,50333.3
275,0,0,0,0,0,0,50375.0
276,0,0,0,0,0,0,50416.7
277,0,0,0,0,0,0,50375.0
278,1,0,0,0,0,0,50416.7
279,1,0,0,0,0,0,50333.3
280,0,0,0,0,0,0,50625.0
281,0,0,0,0,0,0,50333.3
282,0,0,0,0,0,0,50375.0
283,1,0,0,0,0,0,50416.7
284,0,0,0,0,0,0,50333.3
285,0,0,0,0,0,0,50375.0
286,0,0,0,0,0,0,50375.0
287,0,0,0,0,0,0,50541.7
288,1,0,0,0,0,0,50375.0
289,1,0,0,0,0,0,50416.7
290,0,0,0,0,0,0,50375.0
291,0,0,0,0,0,0,50416.7
292,0,0,0,0,0,0,50458.3
293,1,0,0,0,0,0,50583.3
294,1,0,0,0,0,0,50625.0
295,1,0,0,0,0,0,50375.0
296,0,0,0,0,0,0,50541.7
297,0,0,0,0,0,0,50458.3
298,1,0,0,0,0,0,50416.7
299,0,0,0,0,0,0,50500.0
300,0,0,0,0,0,0,50375.0
301,0,0,0,0,0,0,50458.3
302,1,0,0,0,0,0,50416.7
303,0,0,0,0,0,0,50416.7
304,0,0,0,0,0,0,50333.3
305,1,0,0,0,0,0,50416.7
306,1,0,0,0,0,0,50416.7
307,0,0,0,0,0,0,51416.7
308,0,0,0,0,0,0,51541.7
309,0,0,0,0,0,0,50875.0
310,0,0,0,0,0,0,50458.3
311,0,0,0,0,0,0,50375.0
312,0,0,0,0,0,0,50375.0
313,1,0,0,0,0,0,50458.3
314,0,0,0,0,0,0,50458.3
315,1,0,0,0,0,0,50333.3
316,1,0,0,0,0,0,50416.7
317,0,0,0,0,0,0,50458.3
318,0,0,0,0,0,0,50416.7
319,1,0,0,0,0,0,50416.7
320,0,0,0,0,0,0,50458.3
321,1,0,0,0,0,0,50583.3
322,0,0,0,0,0,0,50333.3
323,0,0,0,0,0,0,50458.3
324,0,0,0,0,0,0,50416.7
325,1,0,0,0,0,0,50458.3
326,0,0,0,0,0,0,50333.3
327,0,0,0,0,0,0,50416.7
328,0,0,0,0,0,0,50458.3
329,0,0,0,0,0,0,50416.7
330,1,0,0,0,0,0,50416.7
331,0,0,0,0,0,0,50541.7
332,1,0,0,0,0,0,50500.0
333,1,0,0,0,0,0,50541.7
334,1,0,0,0,0,0,50541.7
335,1,0,0,0,0,0,50375.0
336,0,0,0,0,0,0,50416.7
337,1,0,0,0,0,0,50416.7
338,0,0,0,0,0,0,50375.0
339,1,0,0,0,0,0,50458.3
340,1,0,0,0,0,0,50375.0
341,1,0,0,0,0,0,51291.7
342,1,0,0,0,0,0,72541.7
343,0,0,0,0,0,0,53791.7
344,1,0,0,0,0,0,53916.7
345,1,0,0,0,0,0,54666.7
346,0,0,0,0,0,0,54625.0
347,0,0,0,0,0,0,52708.3
348,1,0,0,0,0,0,50416.7
349,1,0,0,0,0,0,50458.3
350,1,0,0,0,0,0,50458.3
351,1,0,0,0,0,0,50208.3
352,0,0,0,0,0,0,50333.3
